Name,Age,Employment_Years,Annual_Income,Credit_Score,Loan_Amount,Loan_Purpose,Past_Defaults,Has_Criminal_Record,Loan_Approved
Paul Johnson,21,0,77249.87,602,39221.74,Home,0,1,0
Linda Kennedy,33,8,93373.02,750,5050.41,Business,0,0,1
Jesse Williams,26,4,113296.76,372,36132.64,Home,0,0,0
James Gonzales,47,20,39850.7,741,7943.23,Car,2,1,0
Nicole Harper,23,3,60982.23,675,31058.19,Home,3,0,0
Tammy Johnson,55,32,110880.17,474,33691.82,Business,4,0,0
Victoria Bryant,34,8,124587.31,396,40896.98,Home,0,1,0
Kerri Day,36,6,81056.55,419,17221.72,Business,3,1,0
Jessica Hatfield,32,12,138593.47,502,5542.97,Education,0,0,1
Steve Robertson,35,15,95230.51,595,8246.38,Home,0,0,0
Reginald Hodges,34,8,107330.79,822,42823.46,Business,3,0,0
Frank Osborne,56,28,21645.0,789,18496.49,Home,2,0,0
Eric Harrison,47,6,135183.54,758,38066.76,Education,4,1,0
Mary Roberts,30,3,99794.71,612,17974.17,Personal,0,1,0
Michael Reid,57,11,139027.74,306,26131.57,Business,2,0,0
Angela Parker,25,3,30727.56,598,18227.4,Car,2,0,0
Taylor Hall,64,18,111889.47,628,37339.2,Personal,3,1,0
Scott Avery,32,0,148156.84,794,13887.63,Personal,4,0,1
Amanda Kennedy,37,17,110234.66,658,25360.36,Car,2,0,0
Mary Stephens,21,1,59554.11,826,22939.04,Business,5,1,0
Juan Nichols,42,21,39688.43,740,34461.12,Home,3,1,0
Todd White,22,0,71689.96,453,10867.68,Personal,2,0,0
Kelly Reynolds,21,0,29587.08,571,23875.61,Personal,3,0,0
Richard Mann,57,2,43394.77,786,18493.68,Home,1,1,0
Gina Cummings,63,7,25028.63,438,19458.86,Home,0,1,0
Trevor Lee,60,2,46878.95,359,30112.35,Home,1,1,0
Jose Vaughn,54,20,20874.27,804,24791.81,Education,0,0,0
Marcus Singh,32,9,116802.95,304,9061.69,Personal,2,1,0
Gary Lee,52,29,118129.2,402,44691.43,Personal,4,0,0
Melinda Swanson,59,2,130632.51,617,37154.42,Car,0,0,1
